date,basedate,tmax
1912-04-01,40997,69
1912-04-02,40998,75
1912-04-03,40999,61
1912-04-04,41000,63
1912-04-05,41001,71
1912-04-06,41002,78
1912-04-07,41003,73
1912-04-08,41004,49
1912-04-09,41005,72
1912-04-10,41006,71
1912-04-11,41007,75
1912-04-12,41008,81
1912-04-13,41009,76
1912-04-14,41010,58
1912-04-15,41011,79
1912-04-16,41012,78
1912-04-17,41013,64
1912-04-18,41014,61
1912-04-19,41015,56
1912-04-20,41016,61
1912-04-21,41017,64
1912-04-22,41018,69
1912-04-23,41019,68
1912-04-24,41020,72
1912-04-25,41021,64
1912-04-26,41022,62
1912-04-27,41023,70
1912-04-28,41024,70
1912-04-29,41025,65
1912-04-30,41026,55
1912-05-01,41027,66
1912-05-02,41028,81
1912-05-03,41029,76
1912-05-04,41030,78
1912-05-05,41031,73
1912-05-06,41032,81
1912-05-07,41033,72
1912-05-08,41034,71
1912-05-09,41035,72
1912-05-10,41036,76
1912-05-11,41037,77
1912-05-12,41038,74
1912-05-13,41039,68
1912-05-14,41040,65
1912-05-15,41041,62
1912-05-16,41042,67
1912-05-17,41043,68
1912-05-18,41044,72
1912-05-19,41045,81
1912-05-20,41046,86
1912-05-21,41047,88
1912-05-22,41048,85
1912-05-23,41049,83
1912-05-24,41050,90
1912-05-25,41051,86
1912-05-26,41052,76
1912-05-27,41053,79
1912-05-28,41054,86
1912-05-29,41055,80
1912-05-30,41056,76
1912-05-31,41057,79
1912-06-01,41058,85
1912-06-02,41059,91
1912-06-03,41060,81
1912-06-04,41061,85
1912-06-05,41062,80
1912-06-06,41063,80
1912-06-07,41064,79
1912-06-08,41065,68
1912-06-09,41066,75
1912-06-10,41067,75
1912-06-11,41068,81
1912-06-12,41069,86
1912-06-13,41070,82
1912-06-14,41071,78
1912-06-15,41072,64
1912-06-16,41073,84
1912-06-17,41074,87
1912-06-18,41075,83
1912-06-19,41076,75
1912-06-20,41077,77
1912-06-21,41078,81
1912-06-22,41079,79
1912-06-23,41080,83
1912-06-24,41081,83
1912-06-25,41082,83
1912-06-26,41083,88
1912-06-27,41084,79
1912-06-28,41085,80
1912-06-29,41086,90
1912-06-30,41087,84
1912-07-01,41088,73
1912-07-02,41089,84
1912-07-03,41090,88
1912-07-04,41091,90
1912-07-05,41092,89
1912-07-06,41093,89
1912-07-07,41094,91
1912-07-08,41095,94
1912-07-09,41096,93
1912-07-10,41097,92
1912-07-11,41098,88
1912-07-12,41099,88
1912-07-13,41100,92
1912-07-14,41101,93
1912-07-15,41102,95
1912-07-16,41103,91
1912-07-17,41104,92
1912-07-18,41105,81
1912-07-19,41106,76
1912-07-20,41107,76
1912-07-21,41108,89
1912-07-22,41109,82
1912-07-23,41110,80
1912-07-24,41111,80
1912-07-25,41112,79
1912-07-26,41113,77
1912-07-27,41114,80
1912-07-28,41115,85
1912-07-29,41116,84
1912-07-30,41117,82
1912-07-31,41118,87
1912-08-01,41119,77
1912-08-02,41120,79
1912-08-03,41121,76
1912-08-04,41122,74
1912-08-05,41123,76
1912-08-06,41124,76
1912-08-07,41125,81
1912-08-08,41126,80
1912-08-09,41127,82
1912-08-10,41128,87
1912-08-11,41129,87
1912-08-12,41130,86
1912-08-13,41131,89
1912-08-14,41132,85
1912-08-15,41133,84
1912-08-16,41134,84
1912-08-17,41135,80
1912-08-18,41136,91
1912-08-19,41137,91
1912-08-20,41138,88
1912-08-21,41139,88
1912-08-22,41140,88
1912-08-23,41141,84
1912-08-24,41142,85
1912-08-25,41143,90
1912-08-26,41144,90
1912-08-27,41145,85
1912-08-28,41146,76
1912-08-29,41147,73
1912-08-30,41148,76
1912-08-31,41149,81
1912-09-01,41150,92
1912-09-02,41151,89
1912-09-03,41152,81
1912-09-04,41153,79
1912-09-05,41154,88
1912-09-06,41155,91
1912-09-07,41156,91
1912-09-08,41157,84
1912-09-09,41158,89
1912-09-10,41159,91
1912-09-11,41160,92
1912-09-12,41161,86
1912-09-13,41162,76
1912-09-14,41163,89
1912-09-15,41164,88
1912-09-16,41165,79
1912-09-17,41166,80
1912-09-18,41167,85
1912-09-19,41168,74
1912-09-20,41169,76
1912-09-21,41170,78
1912-09-22,41171,73
1912-09-23,41172,73
1912-09-24,41173,66
1912-09-25,41174,69
1912-09-26,41175,67
1912-09-27,41176,66
1912-09-28,41177,66
1912-09-29,41178,70
1912-09-30,41179,61
1912-10-01,41180,65
1912-10-02,41181,66
1912-10-03,41182,75
1912-10-04,41183,80
1912-10-05,41184,76
1912-10-06,41185,77
1912-10-07,41186,82
1912-10-08,41187,74
1912-10-09,41188,71
1912-10-10,41189,87
1912-10-11,41190,86
1912-10-12,41191,84
1912-10-13,41192,77
1912-10-14,41193,59
1912-10-15,41194,69
1912-10-16,41195,61
1912-10-17,41196,68
1912-10-18,41197,75
1912-10-19,41198,76
1912-10-20,41199,67
1912-10-21,41200,65
1912-10-22,41201,62
1912-10-23,41202,63
1912-10-24,41203,51
1912-10-25,41204,55
1912-10-26,41205,62
1912-10-27,41206,62
1912-10-28,41207,67
1912-10-29,41208,74
1912-10-30,41209,73
1912-10-31,41210,64
1912-11-01,41211,69
1912-11-02,41212,54
1912-11-03,41213,55
1912-11-04,41214,56
1912-11-05,41215,66
1912-11-06,41216,67
1912-11-07,41217,62
1912-11-08,41218,59
1912-11-09,41219,60
1912-11-10,41220,58
1912-11-11,41221,72
1912-11-12,41222,74
1912-11-13,41223,71
1912-11-14,41224,68
1912-11-15,41225,46
1912-11-16,41226,48
1912-11-17,41227,44
1912-11-18,41228,46
1912-11-19,41229,56
1912-11-20,41230,60
1912-11-21,41231,64
1912-11-22,41232,65
1912-11-23,41233,60
1912-11-24,41234,49
1912-11-25,41235,41
1912-11-26,41236,49
1912-11-27,41237,44
1912-11-28,41238,40
1912-11-29,41239,46
1912-11-30,41240,53
1912-12-02,41242,56
1912-12-03,41243,60
1912-12-04,41244,50
1912-12-05,41245,48
1912-12-06,41246,70
1912-12-07,41247,64
1912-12-08,41248,49
1912-12-09,41249,47
1912-12-10,41250,49
1912-12-11,41251,47
1912-12-12,41252,43
1912-12-13,41253,43
1912-12-14,41254,50
1912-12-15,41255,53
1912-12-16,41256,50
1912-12-17,41257,46
1912-12-18,41258,44
1912-12-19,41259,48
1912-12-20,41260,49
1912-12-21,41261,44
1912-12-22,41262,40
1912-12-23,41263,38
1912-12-24,41264,47
1912-12-25,41265,41
1912-12-26,41266,41
1912-12-27,41267,41
1912-12-28,41268,45
1912-12-29,41269,47
1912-12-30,41270,51
1912-12-31,41271,46
1913-01-01,41272,51
1913-01-02,41273,53
1913-01-03,41274,46
1913-01-04,41275,47
